Location,Street_code,Box_code,Area,Municipality,Province,Country
Middelburg,1055,1050,Mpumalanga,Nkangala,Mpumalanga,South Africa
Middelburg Ext 18,1055,1050,Middelburg,Chris Hani,Eastern Cape,South Africa
Middelburg Uit 18,1055,1050,Middelburg,Chris Hani,Eastern Cape,South Africa
Mineralia,1050,1050,Middelburg,Nkangala,Mpumalanga,South Africa
Wonderpark,-------,1050,Middelburg,Nkangala,Mpumalanga,South Africa
Arnot,-------,1051,Middelburg,Nkangala,Mpumalanga,South Africa
Nasaret,1055,1052,Middelburg,Nkangala,Mpumalanga,South Africa
Tosca,-------,1052,Nasaret,Nkangala,Mpumalanga,South Africa
Twin City,-------,1052,Nasaret,Nkangala,Mpumalanga,South Africa
Bosville,-------,1053,Middelburg,Nkangala,Mpumalanga,South Africa
Mhluzi,1055,1053,Middelburg,Nkangala,Mpumalanga,South Africa
Mhluzi Ext 3,1055,1053,Middelburg,Nkangala,Mpumalanga,South Africa
Mhluzi Ext 8,1055,1053,Middelburg,Nkangala,Mpumalanga,South Africa
Mhluzi Uit 3,1055,1053,Middelburg,Nkangala,Mpumalanga,South Africa
Mhluzi Uit 8,1055,1053,Middelburg,Nkangala,Mpumalanga,South Africa
Selons River,-------,1054,Middelburg,Nkangala,Mpumalanga,South Africa
Selonsrivier,-------,1054,Middelburg,Nkangala,Mpumalanga,South Africa
Aerorand,1055,1070,Middelburg,Nkangala,Mpumalanga,South Africa
Dennesig,1055,1050,Middelburg,Nkangala,Mpumalanga,South Africa
Eastdene,1055,1050,Middelburg,Nkangala,Mpumalanga,South Africa
Garakgwadi,1055,1068,Middelburg,Nkangala,Mpumalanga,South Africa
Garakwadi,1055,1068,Middelburg,Nkangala,Mpumalanga,South Africa
Gholfsig,1055,1050,Middelburg,Nkangala,Mpumalanga,South Africa
Hlalamnandi,1055,-------,Middelburg,Nkangala,Mpumalanga,South Africa
Hlalamnandi Ext 22,1055,-------,Middelburg,Chris Hani,Eastern Cape,South Africa
Hlalamnandi Uit 22,1055,-------,Middelburg,Chris Hani,Eastern Cape,South Africa
Kanonkop,1055,1050,Middelburg,Gert Sibande,Mpumalanga,South Africa
Khalethu,1055,-------,Middelburg,Nkangala,Mpumalanga,South Africa
Mhluzi,1055,1053,Middelburg,Nkangala,Mpumalanga,South Africa
Mhluzi Ext,1055,-------,Middelburg,Nkangala,Mpumalanga,South Africa
Mhluzi Ext 1,1055,-------,Middelburg,Nkangala,Mpumalanga,South Africa
Mhluzi Ext 2,1055,-------,Middelburg,Nkangala,Mpumalanga,South Africa
Mhluzi Ext 23,1055,1055,Middelburg,Chris Hani,Eastern Cape,South Africa
Mhluzi Ext 3,1055,1053,Middelburg,Nkangala,Mpumalanga,South Africa
Mhluzi Ext 4,1055,-------,Middelburg,Nkangala,Mpumalanga,South Africa
Mhluzi Ext 5,1055,-------,Middelburg,Nkangala,Mpumalanga,South Africa
Mhluzi Ext 6,1055,-------,Middelburg,Chris Hani,Eastern Cape,South Africa
Mhluzi Ext 7,1055,-------,Middelburg,Nkangala,Mpumalanga,South Africa
Mhluzi Ext 8,1055,1053,Middelburg,Nkangala,Mpumalanga,South Africa
Mhluzi Uit,1055,-------,Middelburg,Nkangala,Mpumalanga,South Africa
Mhluzi Uit 1,1055,-------,Middelburg,Nkangala,Mpumalanga,South Africa
Mhluzi Uit 2,1055,-------,Middelburg,Nkangala,Mpumalanga,South Africa
Mhluzi Uit 23,1055,1055,Middelburg,Chris Hani,Eastern Cape,South Africa
Mhluzi Uit 3,1055,1053,Middelburg,Nkangala,Mpumalanga,South Africa
Mhluzi Uit 4,1055,-------,Middelburg,Nkangala,Mpumalanga,South Africa
Mhluzi Uit 5,1055,-------,Middelburg,Nkangala,Mpumalanga,South Africa
Mhluzi Uit 6,1055,-------,Middelburg,Chris Hani,Eastern Cape,South Africa
Mhluzi Uit 7,1055,-------,Middelburg,Nkangala,Mpumalanga,South Africa
Mhluzi Uit 8,1055,1053,Middelburg,Nkangala,Mpumalanga,South Africa
Middelburg,1055,1050,Mpumalanga,Nkangala,Mpumalanga,South Africa
Middelburg Ext 1,1055,-------,Mpumalanga,Nkangala,Mpumalanga,South Africa
Middelburg Ext 18,1055,1050,Middelburg,Chris Hani,Eastern Cape,South Africa
Middelburg Ext 2,1055,-------,Mpumalanga,Nkangala,Mpumalanga,South Africa
Middelburg Ext 3,1055,-------,Mpumalanga,Nkangala,Mpumalanga,South Africa
Middelburg Ext 4,1055,-------,Mpumalanga,Nkangala,Mpumalanga,South Africa
Middelburg Ext 5,1055,-------,Mpumalanga,Nkangala,Mpumalanga,South Africa
Middelburg Ext 6,1055,-------,Mpumalanga,Nkangala,Mpumalanga,South Africa
Middelburg South,1055,-------,Middelburg,Nkangala,Mpumalanga,South Africa
Middelburg Uit 1,1055,-------,Mpumalanga,Nkangala,Mpumalanga,South Africa
Middelburg Uit 18,1055,1050,Middelburg,Chris Hani,Eastern Cape,South Africa
Middelburg Uit 2,1055,-------,Mpumalanga,Nkangala,Mpumalanga,South Africa
Middelburg Uit 3,1055,-------,Mpumalanga,Nkangala,Mpumalanga,South Africa
Middelburg Uit 4,1055,-------,Mpumalanga,Nkangala,Mpumalanga,South Africa
Middelburg Uit 5,1055,-------,Mpumalanga,Nkangala,Mpumalanga,South Africa
Middelburg Uit 6,1055,-------,Mpumalanga,Nkangala,Mpumalanga,South Africa
Middelburg-Suid,1055,-------,Middelburg,Nkangala,Mpumalanga,South Africa
Mountain View,1055,-------,Middelburg,Nkangala,Mpumalanga,South Africa
Nasaret,1055,1052,Middelburg,Nkangala,Mpumalanga,South Africa
Phumula,1055,-------,Middelburg,Nkangala,Mpumalanga,South Africa
Rockville,1055,-------,Middelburg,Nkangala,Mpumalanga,South Africa
Thembisa,1055,-------,Middelburg,Nkangala,Mpumalanga,South Africa
Vaalbank,1055,-------,Middelburg,Nkangala,Mpumalanga,South Africa
Stoffberg,-------,1056,Middelburg,Nkangala,Mpumalanga,South Africa
Monsterus,-------,1057,Monsterus,Ehlanzeni,Mpumalanga,South Africa
Mpudulle,-------,1057,Nebo,Ehlanzeni,Mpumalanga,South Africa
Ngwabe,-------,1058,Sekhukhune,Sekhukhune,Limpopo,South Africa
Eensaam,-------,1059,Eensaam,Sekhukhune,Limpopo,South Africa
Magopheng,-------,1059,Nebo,Ehlanzeni,Mpumalanga,South Africa
Mare,-------,1059,Mare,Ehlanzeni,Mpumalanga,South Africa
Mmotwaneng,-------,1059,Nebo,Ehlanzeni,Mpumalanga,South Africa
Nebo,-------,1059,Witbank,Nkangala,Mpumalanga,South Africa
Ngwaritsi,-------,1059,Nebo,Ehlanzeni,Mpumalanga,South Africa
Phatantsoane,-------,1059,Nebo,Ehlanzeni,Mpumalanga,South Africa
Rietfontein,-------,1059,Nebo,Ehlanzeni,Mpumalanga,South Africa
Masemola,-------,1060,Groblersdal,Sekhukhune,Limpopo,South Africa
Glen Cowie,-------,1061,Groblersdal,Sekhukhune,Limpopo,South Africa
Makadikwe,-------,1062,Marble Hall,Sekhukhune,Limpopo,South Africa
Sekwati,-------,1063,Sekhukhune,Sekhukhune,Limpopo,South Africa
Ga Tisane,-------,1064,Sekhukhune,Sekhukhune,Limpopo,South Africa
Ga-tisane,-------,1064,Sekhukhune,Sekhukhune,Limpopo,South Africa
Marishane,-------,1064,Groblersdal,Sekhukhune,Limpopo,South Africa
Laersdrif,-------,1065,Middelburg,Sekhukhune,Limpopo,South Africa
Roossenekal,-------,1066,Middelburg,Sekhukhune,Limpopo,South Africa
Marulaneng,-------,1067,Marulaneng,Sekhukhune,Limpopo,South Africa
Garakgwadi,1055,1068,Middelburg,Nkangala,Mpumalanga,South Africa
Garakwadi,1055,1068,Middelburg,Nkangala,Mpumalanga,South Africa
Mphilo,-------,1069,Middelburg,Chris Hani,Eastern Cape,South Africa
Mpilo,-------,1069,Middelburg,Nkangala,Mpumalanga,South Africa
Aerorand,1055,1070,Middelburg,Nkangala,Mpumalanga,South Africa
Manoge,-------,1071,Middelburg,Nkangala,Mpumalanga,South Africa
Emalahleni North,1034,1072,Witbank,Nkangala,Mpumalanga,South Africa
Emalahleni-noord,1034,1072,Witbank,Nkangala,Mpumalanga,South Africa
Witbank North,1034,1072,Witbank,Nkangala,Mpumalanga,South Africa
Witbank-Noord,1034,1072,Witbank,Nkangala,Mpumalanga,South Africa
Kwaguqa,-------,1073,Kwaguqa,Nkangala,Mpumalanga,South Africa
Kwaguqa,1073,1073,Witbank,Nkangala,Mpumalanga,South Africa
Kwaguqa Ext,-------,1073,Kwaguqa,Nkangala,Mpumalanga,South Africa
Kwaguqa Ext 10,1073,1073,Witbank,Nkangala,Mpumalanga,South Africa
Kwaguqa Ext 3,1073,1073,Witbank,Nkangala,Mpumalanga,South Africa
Kwaguqa Ext 5,1073,1073,Witbank,Nkangala,Mpumalanga,South Africa
Kwaguqa Ext 7,1073,1073,Witbank,Nkangala,Mpumalanga,South Africa
Kwaguqa Fase 4,1073,1073,Witbank,Nkangala,Mpumalanga,South Africa
Kwaguqa Phase 4,1073,1073,Witbank,Nkangala,Mpumalanga,South Africa
Kwaguqa Uit,-------,1073,Kwaguqa,Nkangala,Mpumalanga,South Africa
Kwaguqa Uit 10,1073,1073,Witbank,Nkangala,Mpumalanga,South Africa
Kwaguqa Uit 3,1073,1073,Witbank,Nkangala,Mpumalanga,South Africa
Kwaguqa Uit 5,1073,1073,Witbank,Nkangala,Mpumalanga,South Africa
Kwaguqa Uit 7,1073,1073,Witbank,Nkangala,Mpumalanga,South Africa
Mohlodi,-------,1074,Witbank,Nkangala,Mpumalanga,South Africa
Motseleope,-------,1075,Witbank,Nkangala,Mpumalanga,South Africa
Motselepoe,-------,1075,Witbank,Nkangala,Mpumalanga,South Africa
Pakaneng,-------,1076,Witbank,Nkangala,Mpumalanga,South Africa
Phokoane,-------,1077,Witbank,Nkangala,Mpumalanga,South Africa
Tshweneng,-------,1078,Mpudulle,Sekhukhune,Limpopo,South Africa
Middelburg North,-------,1079,Middelburg,Nkangala,Mpumalanga,South Africa
Middelburg-Noord,-------,1079,Middelburg,Nkangala,Mpumalanga,South Africa
Kranspoort,-------,1080,Witbank,Nkangala,Mpumalanga,South Africa
Loding,-------,1081,Witbank,Nkangala,Mpumalanga,South Africa
Mpake,-------,1082,Witbank,Nkangala,Mpumalanga,South Africa
Jane Furse,1085,1085,Burgersfort,Sekhukhune,Limpopo,South Africa
Jane Furse Hospital,-------,1085,Burgersfort,Sekhukhune,Limpopo,South Africa
Meerlus,-------,1090,Witbank,Nkangala,Mpumalanga,South Africa
Hendrina,1095,1095,Hendrina,Nkangala,Mpumalanga,South Africa
Pullens Hope,-------,1096,Pullens Hope,Nkangala,Mpumalanga,South Africa
Arnot Colliery,-------,1097,Witbank,Nkangala,Mpumalanga,South Africa
Rietkuil,-------,1097,Rietkuil,Nkangala,Mpumalanga,South Africa
Kwa Zamokuhle,1098,1098,Hendrina,Nkangala,Mpumalanga,South Africa
Kwazamokuhle,1098,1098,Hendrina,Nkangala,Mpumalanga,South Africa
Kwazamokuhle,-------,1098,Kwazamokuhle,Nkangala,Mpumalanga,South Africa
Kwazamokuhle Ext,1098,1098,Kwazamokuhle,Nkangala,Mpumalanga,South Africa
Kwazamokuhle Uit,1098,1098,Kwazamokuhle,Nkangala,Mpumalanga,South Africa
Belfast,-------,1100,Belfast,Nkangala,Mpumalanga,South Africa
Belfast Ext,1100,1100,Belfast,Nkangala,Mpumalanga,South Africa
Belfast Ext 2,1100,1100,Belfast,Nkangala,Mpumalanga,South Africa
Belfast Ext 3,1100,1100,Belfast,Nkangala,Mpumalanga,South Africa
Belfast Uit,1100,1100,Belfast,Nkangala,Mpumalanga,South Africa
Belfast Uit 2,1100,1100,Belfast,Nkangala,Mpumalanga,South Africa
Belfast Uit 3,1100,1100,Belfast,Nkangala,Mpumalanga,South Africa
Emakhazeni Ext,1100,1100,Belfast,Nkangala,Mpumalanga,South Africa
Emakhazeni Ext 2,1100,1100,Belfast,Nkangala,Mpumalanga,South Africa
Emakhazeni Ext 3,1100,1100,Belfast,Nkangala,Mpumalanga,South Africa
Emakhazeni Uit,1100,1100,Belfast,Nkangala,Mpumalanga,South Africa
Emakhazeni Uit 2,1100,1100,Belfast,Nkangala,Mpumalanga,South Africa
Emakhazeni Uit 3,1100,1100,Belfast,Nkangala,Mpumalanga,South Africa
Wonderfontein,-------,1101,Belfast,Nkangala,Mpumalanga,South Africa
Siyathuthuka,1102,1102,Belfast,Nkangala,Mpumalanga,South Africa
Dullstroom,-------,1110,Dullstroom,Nkangala,Mpumalanga,South Africa
Emnotweni,-------,1110,Lydenburg,Ehlanzeni,Mpumalanga,South Africa
Tonteldoos,-------,1111,Middelburg,Nkangala,Mpumalanga,South Africa
Draaikraal,-------,1112,Witbank,Nkangala,Mpumalanga,South Africa
Kellysville,1120,1120,Lydenburg,Ehlanzeni,Mpumalanga,South Africa
Lydenburg,1120,1120,Lydenburg,Ehlanzeni,Mpumalanga,South Africa
Phiring,-------,1120,Lydenburg,Ehlanzeni,Mpumalanga,South Africa
Rietfontein,-------,1120,Lydenburg,Ehlanzeni,Mpumalanga,South Africa
Tsate,-------,1121,Belfast,Nkangala,Mpumalanga,South Africa
Ohrigstad,-------,1122,Lydenburg,Ehlanzeni,Mpumalanga,South Africa
Mashishing,1123,1123,Lydenburg,Ehlanzeni,Mpumalanga,South Africa
Sekhukhune,1124,1124,Sekhukhune,Sekhukhune,Limpopo,South Africa
Maboloke,-------,1126,Lydenburg,Ehlanzeni,Mpumalanga,South Africa
Manganeng,-------,1127,Sekhukhune,Sekhukhune,Limpopo,South Africa
Mmutlane,-------,1128,Driekop,Ehlanzeni,Mpumalanga,South Africa
Driekop,-------,1129,Driekop,Ehlanzeni,Mpumalanga,South Africa
Gamashishi,-------,1130,Belfast,Nkangala,Mpumalanga,South Africa
Roka Mashabela,-------,1131,Driekop,Ehlanzeni,Mpumalanga,South Africa
Kgautswane,-------,1132,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Steelpoort,-------,1133,Steelpoort,Sekhukhune,Limpopo,South Africa
Aloe Ridge,1150,1150,Burgersfort,Sekhukhune,Limpopo,South Africa
Alridge West,1150,1150,Burgersfort,Sekhukhune,Limpopo,South Africa
Burgersfort,-------,1150,Burgersfort,Sekhukhune,Limpopo,South Africa
Gamarota,-------,1151,Belfast,Nkangala,Mpumalanga,South Africa
Maandagshoek,-------,1152,Belfast,Nkangala,Mpumalanga,South Africa
Riba Cross,-------,1153,Belfast,Nkangala,Mpumalanga,South Africa
Moroke,-------,1154,Penge,Sekhukhune,Limpopo,South Africa
Penge,-------,1160,Burgersfort,Sekhukhune,Limpopo,South Africa
Entokozweni,1170,1170,Machadodorp,Nkangala,Mpumalanga,South Africa
Machadodorp,1170,1170,Machadodorp,Nkangala,Mpumalanga,South Africa
Carolina,1185,1185,Carolina,Gert Sibande,Mpumalanga,South Africa
Selobala,1185,1185,Carolina,Gert Sibande,Mpumalanga,South Africa
Badplaas,1190,1190,Badplaas,Gert Sibande,Mpumalanga,South Africa
Elukwatini,1192,1192,Belfast,Gert Sibande,Mpumalanga,South Africa
Lamagadlela,-------,1193,Belfast,Nkangala,Mpumalanga,South Africa
Bhevula,-------,1194,Belfast,Nkangala,Mpumalanga,South Africa
Waterval-Boven,-------,1195,Waterval-Boven,Nkangala,Mpumalanga,South Africa
Kamagugu,1200,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela Ext,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela Ext 15,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela Ext 2,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela Ext 21,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela Ext 4,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela Ext 5,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela Ext 6,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela Ext 9,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela Uit,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela Uit 15,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela Uit 2,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela Uit 21,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela Uit 4,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela Uit 5,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela Uit 6,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela Uit 9,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nel Acres,-------,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Ext,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Ext 15,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Ext 2,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Ext 21,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Ext 29,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Ext 4,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Ext 5,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Ext 6,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Ext 9,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Uit,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Uit 15,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Uit 2,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Uit 21,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Uit 29,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Uit 4,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Uit 5,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Uit 6,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Uit 9,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelsville,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Sonheuwel Ext 3,1200,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Sonheuwel Uit 3,1200,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Stonehenge Ext 1,1200,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Stonehenge Ext 6,1200,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Stonehenge Uit 1,1200,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Stonehenge Uit 6,1200,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Valencia Park,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Wes-acres Uit 50,1200,1211,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
West Acres Ext 13,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
West Acres Ext 32,1200,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
West Acres Ext 47,1200,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
West Acres Ext 50,1200,1211,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
West Acres Uit 13,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
West Acres Uit 32,1200,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
West Acres Uit 47,1200,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela Ext,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela Ext 1,1201,-------,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela Ext 10,1201,-------,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela Ext 15,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela Ext 2,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela Ext 21,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela Ext 4,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela Ext 5,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela Ext 6,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela Ext 9,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela North,1201,1219,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela Uit,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela Uit 1,1201,-------,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela Uit 10,1201,-------,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela Uit 15,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela Uit 2,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela Uit 21,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela Uit 4,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela Uit 5,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela Uit 6,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela Uit 9,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Mbombela-Noord,1201,1219,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Ext,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Ext 1,1201,-------,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Ext 10,1201,-------,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Ext 15,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Ext 2,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Ext 21,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Ext 29,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Ext 4,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Ext 5,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Ext 6,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Ext 9,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit North,1201,1219,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Uit,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Uit 1,1201,-------,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Uit 10,1201,-------,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Uit 15,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Uit 2,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Uit 21,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Uit 29,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Uit 4,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Uit 5,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Uit 6,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit Uit 9,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelspruit-Noord,1201,1219,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Nelsville,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Sonheuwel,1201,1212,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Sonheuwel Ext,1201,-------,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Sonheuwel Ext 1,1201,-------,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Sonheuwel Ext 2,1201,-------,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Sonheuwel Uit,1201,-------,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Sonheuwel Uit 1,1201,-------,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Sonheuwel Uit 2,1201,-------,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Steiltes,1201,1213,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Steiltes Ext,1201,-------,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Steiltes Ext 10,1201,-------,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Steiltes Uit,1201,-------,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Steiltes Uit 10,1201,-------,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
Valencia Park,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
West Acres,1201,1211,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
West Acres Ext,1201,-------,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
West Acres Ext 1,1201,-------,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
West Acres Ext 13,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
West Acres Ext 14,1201,-------,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
West Acres Ext 15,1201,-------,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
West Acres Ext 2,1201,-------,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
West Acres Ext 20,1201,-------,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
West Acres Ext 24,1201,-------,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
West Acres Ext 29,1201,-------,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
West Acres Ext 3,1201,-------,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
West Acres Ext 31,1201,-------,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
West Acres Ext 4,1201,-------,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
West Acres Ext 5,1201,-------,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
West Acres Ext 6,1201,-------,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
West Acres Ext 7,1201,-------,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
West Acres Ext 8,1201,-------,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
West Acres Uit,1201,-------,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
West Acres Uit 1,1201,-------,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
West Acres Uit 13,1201,1200,Nelspruit,Ehlanzeni,Mpumalanga,South Africa
